Date,Season,HomeTeam,AwayTeam,FTH Goals,FTA Goals,FT Result,HTH Goals,HTA Goals,HT Result,Referee,H Shots,A Shots,H SOT,A SOT,H Fouls,A Fouls,H Corners,A Corners,H Yellow,A Yellow,H Red,A Red,Display_Order,League
26/12/2024,2024/25,Stoke,Leeds,0,2,A,0,1,A,S Martin,3,20,2,5,8,8,1,7,4,0,0,0,20241226,English Second
22/12/2024,2024/25,West Brom,Bristol City,2,0,H,2,0,H,T Kirk,17,8,4,2,8,17,6,1,2,3,0,0,20241222,English Second
21/12/2024,2024/25,Hull,Swansea,2,1,H,1,1,D,T Bramall,12,8,5,2,12,11,3,5,2,2,0,0,20241221,English Second
21/12/2024,2024/25,Portsmouth,Coventry,4,1,H,2,1,H,D Whitestone,12,7,7,3,14,14,10,2,1,0,0,0,20241221,English Second
21/12/2024,2024/25,Sheffield Weds,Stoke,2,0,H,0,0,D,S Allison,6,15,4,4,12,12,6,6,2,2,1,0,20241221,English Second
21/12/2024,2024/25,Burnley,Watford,2,1,H,1,0,H,J Linington,15,9,5,2,12,16,7,3,3,1,0,0,20241221,English Second
21/12/2024,2024/25,Cardiff,Sheffield United,0,2,A,0,0,D,D Bond,8,12,2,5,13,11,3,6,3,1,0,0,20241221,English Second
21/12/2024,2024/25,Leeds,Oxford,4,0,H,1,0,H,J Bell,23,6,9,0,7,7,5,0,0,1,0,0,20241221,English Second
21/12/2024,2024/25,Millwall,Blackburn,1,0,H,0,0,D,D Webb,17,6,4,1,12,15,6,4,0,2,0,0,20241221,English Second
21/12/2024,2024/25,Plymouth,Middlesbrough,3,3,D,1,0,H,W Finnie,12,17,5,6,8,8,3,6,2,2,0,0,20241221,English Second
21/12/2024,2024/25,QPR,Preston,2,1,H,0,1,A,M Donohue,16,2,4,2,10,16,5,1,1,0,0,1,20241221,English Second
21/12/2024,2024/25,Sunderland,Norwich,2,1,H,0,1,A,L Doughty,7,7,4,4,15,14,4,2,5,3,0,1,20241221,English Second
20/12/2024,2024/25,Luton,Derby,2,1,H,0,0,D,A Kitchen,18,10,5,3,12,14,7,4,1,3,0,0,20241220,English Second
15/12/2024,2024/25,Watford,West Brom,2,1,H,1,0,H,G Ward,14,15,7,6,9,7,4,5,2,3,0,0,20241215,English Second
15/12/2024,2024/25,Norwich,Burnley,1,2,A,1,0,H,A Madley,12,10,6,5,14,13,6,5,3,1,0,0,20241215,English Second
14/12/2024,2024/25,Bristol City,QPR,1,1,D,0,0,D,L Smith,17,5,5,2,5,9,10,3,1,2,0,0,20241214,English Second
14/12/2024,2024/25,Coventry,Hull,2,1,H,0,1,A,R Madley,18,10,7,4,16,11,10,2,3,3,0,0,20241214,English Second
14/12/2024,2024/25,Preston,Leeds,1,1,D,1,0,H,J Busby,5,18,2,4,16,7,2,8,3,1,0,0,20241214,English Second
14/12/2024,2024/25,Blackburn,Luton,2,0,H,2,0,H,M Salisbury,12,10,6,4,14,11,4,4,3,2,0,1,20241214,English Second
14/12/2024,2024/25,Middlesbrough,Millwall,1,0,H,1,0,H,G Eltringham,11,12,2,4,14,10,3,4,2,2,0,0,20241214,English Second
14/12/2024,2024/25,Oxford,Sheffield Weds,1,3,A,1,1,D,S Martin,11,15,5,9,9,11,7,11,0,1,0,0,20241214,English Second
14/12/2024,2024/25,Sheffield United,Plymouth,2,0,H,1,0,H,F Hallam,10,12,3,4,10,13,2,3,0,2,0,0,20241214,English Second
14/12/2024,2024/25,Stoke,Cardiff,2,2,D,1,1,D,J Smith,14,19,5,4,10,10,4,4,4,1,0,0,20241214,English Second
14/12/2024,2024/25,Swansea,Sunderland,2,3,A,2,1,H,A Davies,10,13,4,5,12,14,2,4,1,4,0,0,20241214,English Second
13/12/2024,2024/25,Derby,Portsmouth,4,0,H,3,0,H,O Langford,17,3,7,0,8,6,5,3,0,1,0,0,20241213,English Second
11/12/2024,2024/25,Cardiff,Preston,0,2,A,0,0,D,J Linington,13,14,4,4,11,16,7,2,2,5,0,0,20241211,English Second
11/12/2024,2024/25,Hull,Watford,1,1,D,0,0,D,L Doughty,13,12,4,2,15,7,6,2,2,3,0,0,20241211,English Second
11/12/2024,2024/25,Millwall,Sheffield United,0,1,A,0,1,A,M Donohue,11,9,3,1,10,9,7,3,0,2,0,0,20241211,English Second
11/12/2024,2024/25,QPR,Oxford,2,0,H,0,0,D,A Herczeg,11,4,4,1,11,20,0,4,2,2,0,0,20241211,English Second
11/12/2024,2024/25,West Brom,Coventry,2,0,H,1,0,H,J Busby,10,16,2,4,5,7,9,9,1,1,0,0,20241211,English Second
10/12/2024,2024/25,Burnley,Derby,0,0,D,0,0,D,A Davies,14,6,4,1,8,15,6,2,1,1,0,0,20241210,English Second
10/12/2024,2024/25,Luton,Stoke,2,1,H,1,1,D,T Nield,18,15,8,4,7,16,10,4,1,2,0,0,20241210,English Second
10/12/2024,2024/25,Plymouth,Swansea,1,2,A,0,1,A,S Martin,14,10,2,2,10,20,6,3,0,3,0,0,20241210,English Second
10/12/2024,2024/25,Portsmouth,Norwich,0,0,D,0,0,D,A Kitchen,15,5,1,4,14,21,8,3,3,5,0,0,20241210,English Second
10/12/2024,2024/25,Sheffield Weds,Blackburn,0,1,A,0,0,D,J Smith,16,8,4,3,8,12,8,3,0,2,0,0,20241210,English Second
10/12/2024,2024/25,Sunderland,Bristol City,1,1,D,0,0,D,D Whitestone,21,7,5,2,10,12,8,4,2,5,0,0,20241210,English Second
10/12/2024,2024/25,Leeds,Middlesbrough,3,1,H,1,0,H,B Toner,17,6,5,2,11,17,7,4,1,2,0,0,20241210,English Second
8/12/2024,2024/25,West Brom,Sheffield United,2,2,D,1,2,A,D Webb,11,12,4,5,8,13,6,5,2,4,0,0,20241208,English Second
7/12/2024,2024/25,Leeds,Derby,2,0,H,2,0,H,M Donohue,18,3,6,1,6,10,10,2,0,1,0,0,20241207,English Second
7/12/2024,2024/25,Sheffield Weds,Preston,1,1,D,0,1,A,R Madley,13,14,4,7,16,9,6,3,4,2,0,0,20241207,English Second
7/12/2024,2024/25,Sunderland,Stoke,2,1,H,1,1,D,C Pawson,25,11,10,3,5,9,9,4,0,0,0,0,20241207,English Second
7/12/2024,2024/25,Hull,Blackburn,0,1,A,0,1,A,T Kirk,14,5,6,1,10,14,9,2,2,4,0,0,20241207,English Second
7/12/2024,2024/25,Luton,Swansea,1,1,D,1,0,H,J Bell,8,20,2,10,16,10,5,8,0,0,0,0,20241207,English Second
7/12/2024,2024/25,Millwall,Coventry,0,1,A,0,0,D,T Bramall,9,14,0,3,11,11,7,8,2,1,0,0,20241207,English Second
7/12/2024,2024/25,Portsmouth,Bristol City,3,0,H,1,0,H,S Gill,13,11,8,2,14,12,6,7,3,3,0,0,20241207,English Second
7/12/2024,2024/25,QPR,Norwich,3,0,H,2,0,H,A Backhouse,9,5,5,1,8,12,2,10,5,2,0,0,20241207,English Second
6/12/2024,2024/25,Burnley,Middlesbrough,1,1,D,1,1,D,A Kitchen,15,10,4,5,12,10,11,3,1,0,0,0,20241206,English Second
1/12/2024,2024/25,Derby,Sheffield Weds,1,2,A,1,0,H,J Busby,13,10,4,2,20,7,7,5,5,1,0,0,20241201,English Second
30/11/2024,2024/25,Middlesbrough,Hull,3,1,H,2,0,H,A Martin,21,10,9,3,9,10,7,6,1,2,0,0,20241130,English Second
30/11/2024,2024/25,Oxford,Millwall,1,1,D,0,1,A,A Backhouse,8,11,3,3,10,14,2,11,0,4,0,0,20241130,English Second
30/11/2024,2024/25,Watford,QPR,0,0,D,0,0,D,A Kitchen,17,16,6,1,17,14,7,5,2,3,0,0,20241130,English Second
30/11/2024,2024/25,Blackburn,Leeds,1,0,H,1,0,H,L Smith,11,13,2,5,9,12,3,9,2,2,0,0,20241130,English Second
30/11/2024,2024/25,Bristol City,Plymouth,4,0,H,0,0,D,T Robinson,25,4,12,2,7,16,5,2,1,3,0,0,20241130,English Second
30/11/2024,2024/25,Coventry,Cardiff,2,2,D,1,1,D,J Bell,11,10,6,4,10,15,5,1,1,5,0,0,20241130,English Second
30/11/2024,2024/25,Norwich,Luton,4,2,H,2,1,H,J Smith,16,12,6,3,9,12,6,5,1,2,0,0,20241130,English Second
30/11/2024,2024/25,Preston,West Brom,1,1,D,0,1,A,T Bramall,13,8,6,3,12,10,7,4,2,1,0,0,20241130,English Second
30/11/2024,2024/25,Stoke,Burnley,0,2,A,0,0,D,O Langford,14,16,5,4,10,5,6,4,2,0,0,0,20241130,English Second
30/11/2024,2024/25,Swansea,Portsmouth,2,2,D,1,2,A,W Finnie,22,6,6,4,8,11,9,1,2,4,0,0,20241130,English Second
29/11/2024,2024/25,Sheffield United,Sunderland,1,0,H,0,0,D,G Ward,14,16,4,2,12,8,8,8,4,2,1,1,20241129,English Second
27/11/2024,2024/25,Cardiff,QPR,0,2,A,0,1,A,S Martin,24,10,7,5,12,5,14,4,0,1,0,0,20241127,English Second
27/11/2024,2024/25,Leeds,Luton,3,0,H,2,0,H,S Allison,20,7,11,4,9,12,9,1,1,2,0,0,20241127,English Second
27/11/2024,2024/25,Middlesbrough,Blackburn,0,1,A,0,0,D,J Bell,10,7,2,2,7,7,5,3,1,0,0,0,20241127,English Second
27/11/2024,2024/25,Derby,Swansea,1,2,A,0,2,A,B Toner,18,3,7,2,16,14,6,2,3,1,0,0,20241127,English Second
26/11/2024,2024/25,Burnley,Coventry,2,0,H,0,0,D,A Backhouse,12,3,3,1,10,7,6,2,0,1,0,0,20241126,English Second
26/11/2024,2024/25,Hull,Sheffield Weds,0,2,A,0,1,A,O Langford,9,16,3,4,12,9,4,6,1,2,0,0,20241126,English Second
26/11/2024,2024/25,Norwich,Plymouth,6,1,H,2,1,H,S Gill,19,13,10,4,11,5,8,4,0,1,0,0,20241126,English Second
26/11/2024,2024/25,Sheffield United,Oxford,3,0,H,2,0,H,L Doughty,14,9,8,3,8,7,7,7,1,1,0,0,20241126,English Second
26/11/2024,2024/25,Stoke,Preston,0,0,D,0,0,D,M Donohue,12,8,1,3,7,10,8,10,1,1,0,0,20241126,English Second
26/11/2024,2024/25,Watford,Bristol City,1,0,H,0,0,D,J Linington,7,14,1,5,15,11,3,6,2,2,0,0,20241126,English Second
26/11/2024,2024/25,Sunderland,West Brom,0,0,D,0,0,D,R Madley,18,2,2,0,9,7,13,2,0,0,0,0,20241126,English Second
24/11/2024,2024/25,Swansea,Leeds,3,4,A,2,1,H,D Whitestone,10,13,5,4,11,11,1,2,1,2,0,0,20241124,English Second
23/11/2024,2024/25,Bristol City,Burnley,0,1,A,0,1,A,R Madley,7,14,2,5,9,15,8,3,3,4,0,0,20241123,English Second
23/11/2024,2024/25,Coventry,Sheffield United,2,2,D,1,2,A,D Bond,20,7,6,2,13,6,12,2,4,2,0,1,20241123,English Second
23/11/2024,2024/25,Sheffield Weds,Cardiff,1,1,D,1,1,D,A Kitchen,16,9,3,4,8,13,6,2,0,1,0,0,20241123,English Second
23/11/2024,2024/25,Luton,Hull,1,0,H,1,0,H,T Bramall,7,14,2,2,10,10,10,4,2,1,0,0,20241123,English Second
23/11/2024,2024/25,Millwall,Sunderland,1,1,D,0,1,A,J Busby,11,9,5,6,14,16,10,2,1,2,0,0,20241123,English Second
23/11/2024,2024/25,Oxford,Middlesbrough,2,6,A,1,3,A,J Smith,11,16,7,12,9,8,6,9,1,3,0,0,20241123,English Second
23/11/2024,2024/25,Preston,Derby,1,1,D,1,1,D,D Webb,11,5,3,1,8,12,7,3,2,2,0,0,20241123,English Second
23/11/2024,2024/25,QPR,Stoke,1,1,D,0,1,A,G Ward,23,9,5,5,9,10,10,4,3,2,0,0,20241123,English Second
23/11/2024,2024/25,West Brom,Norwich,2,2,D,2,2,D,L Smith,22,11,6,5,4,12,11,2,1,2,0,0,20241123,English Second
22/11/2024,2024/25,Plymouth,Watford,2,2,D,1,2,A,A Davies,10,12,3,5,5,13,2,8,2,1,0,0,20241122,English Second
10/11/2024,2024/25,Sheffield United,Sheffield Weds,1,0,H,0,0,D,L Smith,8,10,1,0,15,22,5,6,1,3,0,0,20241110,English Second
10/11/2024,2024/25,Hull,West Brom,1,2,A,1,2,A,A Kitchen,13,5,3,3,16,10,4,3,1,2,0,0,20241110,English Second
10/11/2024,2024/25,Burnley,Swansea,1,0,H,0,0,D,D Webb,2,9,7,4,13,12,5,1,1,3,0,0,20241110,English Second
9/11/2024,2024/25,Cardiff,Blackburn,1,3,A,0,1,A,G Ward,20,10,8,7,11,6,12,1,0,3,0,0,20241109,English Second
9/11/2024,2024/25,Middlesbrough,Luton,5,1,H,2,0,H,T Harrington,11,5,6,3,6,15,1,1,1,4,0,0,20241109,English Second
9/11/2024,2024/25,Stoke,Millwall,1,1,D,0,1,A,J Bell,8,7,3,1,13,8,9,2,2,2,0,0,20241109,English Second
9/11/2024,2024/25,Derby,Plymouth,1,1,D,1,1,D,S Hooper,20,5,4,2,7,11,8,3,1,4,0,0,20241109,English Second
9/11/2024,2024/25,Leeds,QPR,2,0,H,1,0,H,M Donohue,21,5,6,0,12,13,7,1,1,2,0,0,20241109,English Second
9/11/2024,2024/25,Norwich,Bristol City,0,2,A,0,1,A,F Hallam,9,9,3,2,16,8,3,3,2,0,0,0,20241109,English Second
9/11/2024,2024/25,Portsmouth,Preston,3,1,H,2,0,H,J Busby,18,6,6,1,12,13,11,5,1,0,0,0,20241109,English Second
9/11/2024,2024/25,Sunderland,Coventry,2,2,D,2,0,H,L Doughty,9,8,5,3,10,16,2,7,3,4,0,0,20241109,English Second
8/11/2024,2024/25,Watford,Oxford,1,0,H,0,0,D,A Backhouse,16,10,8,3,12,8,11,4,5,2,0,0,20241108,English Second
7/11/2024,2024/25,West Brom,Burnley,0,0,D,0,0,D,T Nield,11,12,1,4,6,20,2,8,3,3,0,0,20241107,English Second
6/11/2024,2024/25,Blackburn,Stoke,0,2,A,0,0,D,A Davies,25,15,8,7,8,8,9,4,1,2,0,0,20241106,English Second
6/11/2024,2024/25,Coventry,Derby,1,2,A,0,1,A,J Linington,11,3,3,1,5,11,9,6,0,2,0,0,20241106,English Second
6/11/2024,2024/25,Millwall,Leeds,1,0,H,1,0,H,L Doughty,6,14,3,4,11,14,2,12,2,1,0,0,20241106,English Second
6/11/2024,2024/25,Luton,Cardiff,1,0,H,0,0,D,M Donohue,8,10,3,3,12,13,6,6,2,1,0,0,20241106,English Second
6/11/2024,2024/25,Preston,Sunderland,0,0,D,0,0,D,L Smith,14,10,2,2,20,11,4,4,2,1,0,0,20241106,English Second
5/11/2024,2024/25,Bristol City,Sheffield United,1,2,A,0,0,D,J Busby,12,11,2,4,8,12,2,5,0,2,1,0,20241105,English Second
5/11/2024,2024/25,Oxford,Hull,1,0,H,0,0,D,W Finnie,4,12,2,2,8,10,2,6,2,1,0,0,20241105,English Second
5/11/2024,2024/25,QPR,Middlesbrough,1,4,A,0,2,A,O Langford,7,12,5,8,8,11,8,5,0,2,0,0,20241105,English Second
5/11/2024,2024/25,Sheffield Weds,Norwich,2,0,H,2,0,H,S Martin,12,5,5,3,6,16,2,5,0,0,0,0,20241105,English Second
5/11/2024,2024/25,Plymouth,Portsmouth,1,0,H,0,0,D,J Bell,10,14,4,4,8,21,5,6,4,2,0,0,20241105,English Second
5/11/2024,2024/25,Swansea,Watford,1,0,H,1,0,H,J Smith,12,7,3,0,9,10,6,8,3,2,0,0,20241105,English Second
3/11/2024,2024/25,Millwall,Burnley,1,0,H,0,0,D,G Ward,12,8,3,0,17,12,2,3,2,2,0,0,20241103,English Second
2/11/2024,2024/25,Blackburn,Sheffield United,0,2,A,0,1,A,O Langford,9,20,0,9,11,14,5,8,1,2,0,0,20241102,English Second
2/11/2024,2024/25,Oxford,Swansea,1,2,A,0,1,A,M Salisbury,9,16,2,5,15,8,1,8,1,1,0,0,20241102,English Second
2/11/2024,2024/25,Stoke,Derby,2,1,H,1,0,H,J Smith,13,9,4,3,10,14,9,4,2,3,0,0,20241102,English Second
2/11/2024,2024/25,Cardiff,Norwich,2,1,H,0,0,D,L Smith,11,16,5,6,11,15,4,4,3,2,0,0,20241102,English Second
2/11/2024,2024/25,Hull,Portsmouth,1,1,D,1,0,H,A Backhouse,10,9,3,5,12,7,5,3,1,4,0,0,20241102,English Second
2/11/2024,2024/25,Leeds,Plymouth,3,0,H,3,0,H,D Webb,23,0,7,0,11,15,9,0,0,0,0,0,20241102,English Second
2/11/2024,2024/25,Middlesbrough,Coventry,0,3,A,0,1,A,T Bramall,9,10,1,4,4,12,6,8,1,3,1,0,20241102,English Second
2/11/2024,2024/25,Preston,Bristol City,1,3,A,0,1,A,G Eltringham,14,5,2,3,11,20,4,1,4,3,0,0,20241102,English Second
2/11/2024,2024/25,QPR,Sunderland,0,0,D,0,0,D,B Toner,17,8,3,1,12,10,6,6,1,2,0,1,20241102,English Second
2/11/2024,2024/25,Sheffield Weds,Watford,2,6,A,1,1,D,S Allison,14,16,6,8,14,16,6,2,3,3,0,0,20241102,English Second
1/11/2024,2024/25,Luton,West Brom,1,1,D,0,1,A,D Whitestone,13,10,5,3,10,13,6,3,1,2,0,0,20241101,English Second
27/10/2024,2024/25,Norwich,Middlesbrough,3,3,D,1,3,A,J Bell,9,14,3,8,15,7,3,2,2,3,1,0,20241027,English Second
26/10/2024,2024/25,Bristol City,Leeds,0,0,D,0,0,D,J Linington,4,17,0,5,11,10,7,6,1,3,0,0,20241026,English Second
26/10/2024,2024/25,Coventry,Luton,3,2,H,0,2,A,R Madley,26,9,10,5,9,16,11,5,2,3,0,1,20241026,English Second
26/10/2024,2024/25,Watford,Blackburn,1,0,H,0,0,D,D England,10,12,1,2,9,17,6,3,5,4,0,0,20241026,English Second
26/10/2024,2024/25,Burnley,QPR,0,0,D,0,0,D,A Kitchen,22,2,4,0,7,10,16,1,0,1,0,0,20241026,English Second
26/10/2024,2024/25,Derby,Hull,1,1,D,0,0,D,T Nield,14,11,3,5,10,11,5,3,1,4,0,0,20241026,English Second
26/10/2024,2024/25,Plymouth,Preston,3,3,D,0,2,A,A Davies,12,16,6,8,12,16,2,1,0,3,0,0,20241026,English Second
26/10/2024,2024/25,Sheffield United,Stoke,2,0,H,1,0,H,B Toner,19,7,6,3,12,14,5,3,4,2,0,0,20241026,English Second
26/10/2024,2024/25,Sunderland,Oxford,2,0,H,1,0,H,O Langford,13,5,6,2,9,8,8,2,2,2,0,0,20241026,English Second
26/10/2024,2024/25,Swansea,Millwall,0,1,A,0,0,D,J Busby,17,6,5,2,13,14,10,6,1,4,0,0,20241026,English Second
26/10/2024,2024/25,West Brom,Cardiff,0,0,D,0,0,D,J Smith,19,5,4,0,9,18,12,1,4,3,0,0,20241026,English Second
25/10/2024,2024/25,Portsmouth,Sheffield Weds,1,2,A,1,0,H,T Robinson,9,9,2,3,10,14,7,7,1,3,0,0,20241025,English Second
23/10/2024,2024/25,Blackburn,West Brom,0,0,D,0,0,D,J Busby,8,9,2,4,10,7,4,4,2,0,0,0,20241023,English Second
23/10/2024,2024/25,Hull,Burnley,1,1,D,1,0,H,D Whitestone,11,11,2,5,4,15,4,8,0,1,0,0,20241023,English Second
23/10/2024,2024/25,Luton,Sunderland,1,2,A,0,0,D,T Nield,19,9,4,5,14,12,10,3,2,4,0,0,20241023,English Second
23/10/2024,2024/25,Millwall,Plymouth,1,0,H,1,0,H,S Allison,13,9,6,2,12,11,6,2,5,1,0,0,20241023,English Second
23/10/2024,2024/25,Middlesbrough,Sheffield United,1,0,H,0,0,D,A Davies,18,9,6,5,7,4,8,6,0,1,0,0,20241023,English Second
22/10/2024,2024/25,Cardiff,Portsmouth,2,0,H,2,0,H,O Langford,24,8,10,2,9,13,12,5,2,2,0,0,20241022,English Second
22/10/2024,2024/25,Leeds,Watford,2,1,H,2,0,H,A Backhouse,24,9,7,3,7,11,10,4,2,1,0,0,20241022,English Second
22/10/2024,2024/25,Oxford,Derby,1,1,D,1,0,H,G Ward,11,17,3,4,8,8,1,6,1,5,0,0,20241022,English Second
22/10/2024,2024/25,Preston,Norwich,2,2,D,2,1,H,W Finnie,8,9,2,3,12,15,5,2,2,3,0,0,20241022,English Second
22/10/2024,2024/25,Sheffield Weds,Swansea,0,0,D,0,0,D,M Donohue,8,9,0,1,8,5,9,6,0,4,0,0,20241022,English Second
